,Well,Co-Formation,WellID,Type,Field,Prod-Basin,Company,Gas (mmcf),Stream Days,Month Days,First Production Date,Last Production Date,Oil (kbbl),Water (kbbl)
0,Acrasia 001,Hutton Sst,1,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,1117.8,6210,2003-08-31,2011-05-31,141.76516438126,1324.81504321076
1,Acrasia 001,Tinchoo Fm,1,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,623.3,6606,2002-07-31,2005-12-31,183.56831602938,687.04766660422
2,Acrasia 002,Paning Mbr,2,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,8.7,4749,2007-08-31,2008-08-31,0.06667199417,3.49556233567
3,Acrasia 002,Tinchoo Fm,2,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,1265.8,6544,2002-09-30,2013-12-31,89.19134076985,1437.68657805967
4,Acrasia 003,Birkhead Fm,3,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,108.2,2557,2013-08-31,2014-07-31,1.3532527872600002,43.982948468720004
5,Acrasia 003,Hutton Sst,3,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,651.9,5632,2005-03-31,2014-07-31,27.90461968681,253.36747831481
6,Acrasia 003,Poolowanna Fm,3,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,1254.5,6453,2002-12-31,2013-08-31,116.2227460274,2236.8783628972096
7,Acrasia 003,Tinchoo Fm,3,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,679.6,6422,2003-01-31,2012-08-31,144.36122087865,889.73524622871
8,Acrasia 004,Birkhead Fm,4,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,43.5,5448,2005-09-30,2009-06-30,1.5739622471899999,0.08315129838999999
9,Acrasia 004,Hutton Sst,4,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,7.7,5448,2005-09-30,2012-12-31,0.0,0.0
10,Acrasia 004,Poolowanna Fm,4,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,8.4,5448,2005-09-30,2005-09-30,0.45601128086,8.65477962011
11,Acrasia 005,Birkhead Fm,2733,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,2348.5,3500,2011-01-31,2019-06-30,18.996046202109998,10.512852619810001
12,Acrasia 005,Hutton Sst,2733,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,2526.9,3531,2010-12-31,2019-06-30,96.3981430525,33.45500030307
13,Acrasia 005,Poolowanna Fm,2733,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,2361.8,3531,2010-12-31,2019-06-30,115.54709455444001,169.11709839567
14,Acrasia 005,Tinchoo Fm,2733,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,2.0,3500,2011-01-31,2011-01-31,0.05283441047,0.0
15,Acrasia 006,Tinchoo Fm,2750,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,212.4,2314,2014-04-30,2015-05-31,19.67062840723,117.31409109418
16,Acrasia 007,Poolowanna Fm,3011,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,,2404,2014-01-31,,0.0,0.0
17,Acrasia 007,Tinchoo Fm,3011,Oil,Acrasia,Cooper,Senex Energy Limited,0.0,450.3,2404,2014-01-31,2015-08-31,9.583218587940001,0.40713945117
18,Acrasia 008,Birkhead Fm,3089,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,944.5,2314,2014-04-30,2017-08-31,9.11481637986,120.5668667341
19,Acrasia 008,Hutton Sst,3089,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,944.5,2314,2014-04-30,2017-08-31,121.06382468308,1601.80812004714
20,Acrasia 008,Poolowanna Fm,3089,Oil,Acrasia,Eromanga,Senex Energy Limited,0.0,83.9,2314,2014-04-30,2014-07-31,1.76165020058,0.43965777285
21,Aldinga 001,Cadna-owie Fm,6,Oil,Aldinga,Eromanga,Beach Energy Limited,0.0,2602.9,6271,2003-05-31,2014-12-31,59.12793223042,3.4521626413499997
22,Alisma 001,Patchawarra Fm,8,Gas,Alisma,Cooper,Santos Limited,45.28318843,65.0,6697,2002-08-31,2002-06-30,0.0,0.22580420666
23,Alisma 002,Patchawarra Fm,9,Gas,Alisma,Cooper,Santos Limited,451.60954128,618.25,5448,2008-09-30,2009-06-30,0.0,0.0
24,Allambi 001,Patchawarra Fm,11,Gas,Allambi,Cooper,Santos Limited,7563.12573168,7586.0004,9193,1999-01-31,2017-12-31,0.0,384.25649060616
25,Allunga 001,Epsilon Fm,12,Gas,Allunga,Cooper,Santos Limited,565.6231229,2145.4154,2373,2014-09-30,2020-07-31,0.0,0.0
26,Allunga 001,Patchawarra Fm,12,Gas,Allunga,Cooper,Santos Limited,937.22811309,2145.4154,2373,2014-02-28,2020-07-31,0.0,0.0
27,Allunga 002,Epsilon Fm,3384,Gas,Allunga,Cooper,Santos Limited,52.54178798,679.073,1218,2017-04-30,2020-07-31,0.0,3.45543334295
28,Allunga 002,Patchawarra Fm,3384,Gas,Allunga,Cooper,Santos Limited,142.22918456,679.073,1218,2017-04-30,2020-07-31,0.0,9.342255937320001
29,Allunga 003,Epsilon Fm,3385,Gas,Allunga,Cooper,Santos Limited,284.87871253,1101.878,1218,2017-04-30,2020-07-31,0.0,0.5173369358700001
30,Allunga 003,Patchawarra Fm,3385,Gas,Allunga,Cooper,Santos Limited,666.23110517,1101.878,1218,2017-04-30,2020-07-31,0.0,1.2070775849500002
31,Alwyn 001,Murta Fm,15,Oil,Alwyn,Eromanga,Santos Limited,0.0,6057.9098,12662,1986-01-31,2007-03-31,233.69162936463002,889.86167142519
32,Alwyn 003,Mckinlay Fm,17,Oil,Alwyn,Eromanga,Santos Limited,0.0,3573.0574,11231,1990-03-31,2007-02-28,79.69882125322,314.03264029751995
33,Alwyn 003,Murta Fm,17,Oil,Alwyn,Eromanga,Santos Limited,0.0,1591.2543,11231,1989-11-30,2007-02-28,15.544009356970001,306.75470025504995
34,Alwyn 004,Mckinlay Fm,18,Oil,Alwyn,Eromanga,Santos Limited,0.0,281.3604,10805,1991-03-31,1995-12-31,16.16355571786,4.89158583617
35,Alwyn 004,Murta Fm,18,Oil,Alwyn,Eromanga,Santos Limited,0.0,1748.0186,10774,1991-07-31,1996-09-30,47.87174977376,181.89189276474002
36,Alwyn 005,Mckinlay Fm,19,Oil,Alwyn,Eromanga,Santos Limited,0.0,4764.823,6088,2014-03-31,2019-09-30,17.78318199124,454.98163883321
37,Alwyn 005,Murta Fm,19,Oil,Alwyn,Eromanga,Santos Limited,0.0,4832.103,6210,2004-02-29,2019-09-30,18.53858826477,470.8866833284
38,Alwyn 005,Namur Sst,19,Oil,Alwyn,Eromanga,Santos Limited,0.0,655.933,1096,2017-10-31,2019-09-30,11.59086328775,83.81613138355
39,Alwyn 006,Mckinlay Fm,20,Oil,Alwyn,Eromanga,Santos Limited,0.0,4309.0659,6179,2004-01-31,2019-09-30,127.89449628166,356.92600484648
40,Alwyn 006,Murta Fm,20,Oil,Alwyn,Eromanga,Santos Limited,0.0,2354.8864,2891,2013-10-31,2019-09-30,10.671921934190001,78.97926690108
41,Alwyn 007,Mckinlay Fm,21,Oil,Alwyn,Eromanga,Santos Limited,0.0,2842.4888,4718,2007-11-30,2016-09-30,41.16177964386,227.61315623609
42,Alwyn 007,Murta Fm,21,Oil,Alwyn,Eromanga,Santos Limited,0.0,1296.0662,2891,2013-01-31,2016-09-30,6.033186491,105.09959306853999
43,Alwyn East 001,Murta Fm,22,Oil,Alwyn,Eromanga,Santos Limited,0.0,1037.9577,6179,2003-09-30,2007-03-31,8.17235113402,317.65305537698
44,Amyema 001,Patchawarra Fm,25,Gas,Amyema,Cooper,Santos Limited,6333.94974321,4558.6072,11019,1995-01-31,2004-07-31,0.0,363.16612611183
45,Andree 001,Patchawarra Fm,26,Gas,Andree/Leleptian,Cooper,Santos Limited,3047.05324513,5104.2305,11201,1994-01-31,2005-11-30,0.0,135.04538214656
46,Andree 003,Patchawarra Fm,28,Gas,Andree/Leleptian,Cooper,Santos Limited,1830.31353903,2394.7032,5083,2008-12-31,2017-08-31,0.0,0.0
47,Andree 004,Patchawarra Fm,2828,Gas,Andree/Leleptian,Cooper,Santos Limited,1351.95320127,2517.2755,2738,2013-02-28,2020-06-30,0.0,395.4504668343
48,Andree 006,Patchawarra Fm,3097,Gas,Andree/Leleptian,Cooper,Santos Limited,1563.87275879,1707.8378,1980,2015-03-31,2020-07-31,0.0,460.91978628347
49,Andree 006,Patchawarra Fm,3097,Gas,Andree/Leleptian,Cooper,Santos Limited,22.20509222,1707.8378,1980,2015-04-30,2020-07-31,0.0,6.25836171658
50,Arno 001,Mckinlay Fm,2755,Oil,Arno,Eromanga,Beach Energy Limited,0.0,964.1,1004,2017-10-31,2020-06-30,21.84187108519,7.764519803670001
51,Aroona 001,Patchawarra Fm,41,Gas,Aroona,Cooper,Santos Limited,22582.3981114,5329.8326,12115,1988-06-30,2004-07-31,0.0,966.29608088856
52,Aroona 001,Toolachee Fm,41,Gas,Aroona,Cooper,Santos Limited,4155.10927807,2986.2917,12115,1987-11-30,1995-12-31,0.0,7.078553041039999
53,Aroona 002,Patchawarra Fm,3554,Gas,Aroona,Cooper,Santos Limited,79.90525331,124.9,213,2020-01-31,2020-07-31,0.0,0.0
54,Arrakis 001,Birkhead Fm,43,Oil,Arrakis,Eromanga,Santos Limited,0.0,56.75,11111,1990-06-30,1990-07-31,2.33918062552,7.25026487508
55,Arrakis 001,Epsilon Fm,43,Gas,Arrakis,Cooper,Santos Limited,5105.68123574,7692.9046,9375,1994-12-31,2020-02-29,0.0,41.2209038651
56,Arrakis 001,Patchawarra Fm,43,Gas,Arrakis,Cooper,Santos Limited,922.37798143,6095.9462,7702,1999-09-30,2020-02-29,0.0,14.960943898550001
57,Arrakis North 001,Epsilon Fm,44,Gas,Arrakis,Cooper,Santos Limited,7255.56389312,8437.1498,10288,1997-12-31,2020-07-31,0.0,11.236746941380002
