,Well,Operator,Province,Spudded Date,Class,Type,Completion Status,Driller/Rig,Primary Objective,Licence Type,Licence Number,Current PPL,Start Depth (m),Total Depth (m),GDA20 Latitude,GDA20 Longitude,Well ID
0,Acacia Grove 001,Cooper Energy,Cooper/Eromanga,2004-04-19,Exploration,Oil Shows,Abandoned,OD&E 30,Poolowanna Fm,PEL,100.0,,0.0,2724.0,-27.138328694444443,140.66661819444445,2277
1,Acrasia 001,Stuart Petroleum,Cooper/Eromanga,2002-03-29,Exploration,Oil,Completed,OD&E 30,Hutton Fm,PEL,90.0,203.0,0.0,2360.0,-27.232930305555556,140.99655530555555,1
2,Acrasia 002,Stuart Petroleum,Cooper/Eromanga,2002-06-20,Appraisal,Oil,Completed,OD&E 30,Birkhead Fm,PEL,90.0,203.0,0.0,2376.7,-27.232959194444444,140.98424419444444,2
3,Acrasia 003,Stuart Petroleum,Cooper/Eromanga,2002-10-29,Development,Oil,Completed,OD&E 30,Hutton Fm,PEL,90.0,203.0,0.0,2343.0,-27.23198461111111,140.99240430555554,3
4,Acrasia 004,Stuart Petroleum,Cooper/Eromanga,2005-07-20,Development,Oil,Completed,Century 3,Hutton Fm,PPL,203.0,203.0,0.0,2339.0,-27.232515805555554,140.99810930555554,4
5,Acrasia 005,Stuart Petroleum,Cooper/Eromanga,2010-10-09,Development,Oil,Completed,Hunt Energy Rig 2,Hutton Fm,PPL,203.0,203.0,0.0,2300.0,-27.23303311111111,140.99330180555555,2733
6,Acrasia 006,Senex Energy,Cooper/Eromanga,2013-11-14,Development,Oil,Completed,Ensign 754,Hutton Fm,PPL,203.0,203.0,0.0,2369.0,-27.235666000000002,140.99619180555555,2750
7,Acrasia 007,Senex Energy,Cooper/Eromanga,2013-08-24,Development,Oil,Completed,Ensign 754,Tinchoo Formation,PPL,203.0,203.0,0.0,2349.0,-27.231395499999998,140.9827415,3011
8,Acrasia 008,Senex Energy,Cooper/Eromanga,2013-12-30,Development,Oil,Completed,Ensign 754,Hutton Fm,PPL,203.0,203.0,0.0,2525.0,-27.23540888888889,140.9959135,3089
9,Adi 001,Ahava Energy Ltd,Officer,2012-09-29,Exploration,Dry,,Ensign 918,"Ouldburra Formation ,Pindyin Sandstone",PEL,143.0,,0.0,1333.33,-30.6563135,129.9825478888889,2888
